RMA NUMBER,VENDOR,PART NUMBER,SERIAL NUMBER,RMA CREATION DATE,RMA STATUS,CLOSURE DATE,RMA AGE,VENDOR SLA DAYS,SLA STATUS,SLA DAYS REMAINING,NOTES
RMA-87829,VENDOR 1,PN-85718,SN-44052,4/16/2026,IN PROGRESS,,52,7,BREACHED SLA,0,
RMA-71861,VENDOR 2,PN-86450,SN-03508,5/23/2026,CLOSED,5/30/2026,7,14,COMPLETE,N/A,
RMA-53770,VENDOR 1,PN-17354,SN-87224,6/7/2026,CLOSED,6/7/2026,0,7,COMPLETE,N/A,
RMA-37973,VENDOR 2,PN-63842,SN-51056,4/19/2026,CLOSED,5/24/2026,35,14,COMPLETE,N/A,
RMA-21550,VENDOR 1,PN-11247,SN-60697,5/2/2026,CLOSED,5/18/2026,16,7,COMPLETE,N/A,
RMA-24520,VENDOR 1,PN-21125,SN-25542,4/11/2026,CLOSED,5/28/2026,47,7,COMPLETE,N/A,
RMA-08572,VENDOR 2,PN-97929,SN-89785,4/3/2026,CLOSED,4/21/2026,18,14,COMPLETE,N/A,
RMA-98137,VENDOR 2,PN-63842,SN-50419,5/13/2026,CLOSED,5/13/2026,0,14,COMPLETE,N/A,
RMA-66569,VENDOR 1,PN-17354,SN-98417,5/9/2026,CLOSED,5/18/2026,9,7,COMPLETE,N/A,
RMA-04240,VENDOR 1,PN-11247,SN-28202,5/19/2026,OPEN,,19,7,BREACHED SLA,0,
RMA-01324,VENDOR 3,PN-57470,SN-68132,4/19/2026,CLOSED,5/10/2026,21,21,COMPLETE,N/A,
RMA-66291,VENDOR 4,PN-25523,SN-09317,4/13/2026,CLOSED,4/16/2026,3,30,COMPLETE,N/A,
RMA-89785,VENDOR 1,PN-17354,SN-08083,4/8/2026,CLOSED,5/17/2026,39,7,COMPLETE,N/A,
RMA-85610,VENDOR 3,PN-47322,SN-77852,4/21/2026,CLOSED,5/15/2026,24,21,COMPLETE,N/A,
RMA-51774,VENDOR 3,PN-11058,SN-23957,5/28/2026,CLOSED,6/3/2026,6,21,COMPLETE,N/A,
RMA-27479,VENDOR 2,PN-39474,SN-20218,3/31/2026,CLOSED,4/3/2026,3,14,COMPLETE,N/A,
RMA-04894,VENDOR 4,PN-29823,SN-16251,5/24/2026,IN PROGRESS,,14,30,WITHIN SLA,16,
RMA-60955,VENDOR 4,PN-47062,SN-92370,5/7/2026,CLOSED,5/26/2026,19,30,COMPLETE,N/A,
RMA-96208,VENDOR 4,PN-26381,SN-11344,3/27/2026,CLOSED,5/26/2026,60,30,COMPLETE,N/A,
RMA-92642,VENDOR 4,PN-61627,SN-92527,4/12/2026,CLOSED,6/5/2026,54,30,COMPLETE,N/A,
RMA-80117,VENDOR 4,PN-29823,SN-64990,5/4/2026,CLOSED,6/6/2026,33,30,COMPLETE,N/A,
RMA-52853,VENDOR 1,PN-74605,SN-40876,3/9/2026,CLOSED,4/12/2026,34,7,COMPLETE,N/A,
RMA-22849,VENDOR 2,PN-30728,SN-67020,4/7/2026,CLOSED,4/23/2026,16,14,COMPLETE,N/A,
RMA-83550,VENDOR 4,PN-81577,SN-53319,5/20/2026,CLOSED,5/25/2026,5,30,COMPLETE,N/A,
RMA-60469,VENDOR 3,PN-30897,SN-74978,5/19/2026,OPEN,,19,21,WITHIN SLA,2,
RMA-19431,VENDOR 4,PN-47062,SN-21777,4/3/2026,CLOSED,4/15/2026,12,30,COMPLETE,N/A,
RMA-18051,VENDOR 4,PN-25523,SN-46676,5/21/2026,CLOSED,5/28/2026,7,30,COMPLETE,N/A,
RMA-15066,VENDOR 3,PN-45894,SN-65008,4/2/2026,CLOSED,4/24/2026,22,21,COMPLETE,N/A,
RMA-65211,VENDOR 3,PN-30897,SN-91086,4/24/2026,CLOSED,5/13/2026,19,21,COMPLETE,N/A,
RMA-70750,VENDOR 2,PN-39474,SN-49773,5/12/2026,CLOSED,5/31/2026,19,14,COMPLETE,N/A,
RMA-13679,VENDOR 2,PN-86450,SN-79711,6/7/2026,CLOSED,6/7/2026,0,14,COMPLETE,N/A,
RMA-66459,VENDOR 2,PN-86450,SN-63790,5/9/2026,CLOSED,5/16/2026,7,14,COMPLETE,N/A,
RMA-66248,VENDOR 3,PN-20561,SN-68700,3/11/2026,CLOSED,4/13/2026,33,21,COMPLETE,N/A,
RMA-11469,VENDOR 3,PN-11058,SN-25813,3/30/2026,CLOSED,4/5/2026,6,21,COMPLETE,N/A,
RMA-23483,VENDOR 2,PN-97929,SN-20093,3/18/2026,OPEN,,81,14,BREACHED SLA,0,
RMA-66982,VENDOR 4,PN-26381,SN-86085,5/29/2026,CLOSED,5/29/2026,0,30,COMPLETE,N/A,
RMA-35406,VENDOR 4,PN-26381,SN-62700,6/4/2026,OPEN,,3,30,WITHIN SLA,27,
RMA-00696,VENDOR 3,PN-61976,SN-48022,4/2/2026,CLOSED,5/16/2026,44,21,COMPLETE,N/A,
RMA-40392,VENDOR 1,PN-27195,SN-38812,5/6/2026,CLOSED,5/20/2026,14,7,COMPLETE,N/A,
RMA-70302,VENDOR 4,PN-26381,SN-84127,5/5/2026,CLOSED,6/4/2026,30,30,COMPLETE,N/A,
RMA-68690,VENDOR 4,PN-22432,SN-57646,5/5/2026,CLOSED,5/18/2026,13,30,COMPLETE,N/A,
RMA-98115,VENDOR 3,PN-50768,SN-39324,5/30/2026,IN PROGRESS,,8,21,WITHIN SLA,13,
RMA-81184,VENDOR 1,PN-17354,SN-84125,4/13/2026,CLOSED,5/8/2026,25,7,COMPLETE,N/A,
RMA-99122,VENDOR 3,PN-11058,SN-11040,3/18/2026,CLOSED,3/22/2026,4,21,COMPLETE,N/A,
RMA-39343,VENDOR 4,PN-25523,SN-07586,5/25/2026,CLOSED,6/5/2026,11,30,COMPLETE,N/A,
RMA-84034,VENDOR 1,PN-30766,SN-41078,5/7/2026,IN PROGRESS,,31,7,BREACHED SLA,0,
RMA-77244,VENDOR 1,PN-21125,SN-79545,4/6/2026,CLOSED,5/30/2026,54,7,COMPLETE,N/A,
